NUMBER OF H-1B PETITIONS APPROVED BY USCIS IN FY 2009 FOR INITIAL BENEFICIARIES,

EMPLOYER,INITIAL BENEFICIARIES
WIPRO LIMITED,"1,964"
MICROSOFT CORP,"1,318"
INTEL CORP,723
IBM INDIA PRIVATE LIMITED,695
PATNI AMERICAS INC,609
LARSEN & TOUBRO INFOTECH LIMITED,602
ERNST & YOUNG LLP,481
INFOSYS TECHNOLOGIES LIMITED,440
UST GLOBAL INC,344
DELOITTE CONSULTING LLP,328
QUALCOMM INCORPORATED,320
CISCO SYSTEMS INC,308
ACCENTURE TECHNOLOGY SOLUTIONS,287
KPMG LLP,287
ORACLE USA INC,272
POLARIS SOFTWARE LAB INDIA LTD,254
RITE AID CORPORATION,240
GOLDMAN SACHS & CO,236
DELOITTE & TOUCHE LLP,235
COGNIZANT TECH SOLUTIONS US CORP,233
MPHASIS CORPORATION,229
SATYAM COMPUTER SERVICES LIMITED,219
BLOOMBERG,217
MOTOROLA INC,213
GOOGLE INC,211
BALTIMORE CITY PUBLIC SCH SYSTEM,187
UNIVERSITY OF MARYLAND,185
UNIV OF MICHIGAN,183
YAHOO INC,183
AMAZON GLOBAL RESOURCES INC,182
THE JOHNS HOPKINS UNIV MED INSTITU,179
DIS NATL INSTITUTES OF HEALTH DHHS,175
IBM CORPORATION,170
APPLE INC,168
UNIV OF ILLINOIS,162
UNIV OF PENNSYLVANIA,162
YALE UNIVERSITY,159
UNIV OF WISCONSIN MADISON,154
STANFORD UNIV,150
HARVARD UNIVERSITY,145
CUMMINS INC,141
TEXAS INSTRUMENTS INCORPORATED,141
MCKINSEY & COMPANY INC US,140
UNIV OF PITTSBURGH,139
EPIC SYSTEMS CORP,133
NVIDIA CORP,130
SYNTEL CONSULTING INC,129
CREDIT SUISSE SECURITIES USA LLC,128
COLUMBIA UNIVERSITY,124
BAYLOR COLLEGE OF MEDICINE,120
NYC HHC HARLEM HOSPITAL CTR,119
PEROT SYSTEMS TSI AMERICA INC,119
COMPREHAB INC D B A COMPLEAT REHAB,117
PRICEWATERHOUSECOOPERS LLP,117
HEWLETT PACKARD CO,115
INDIANA UNIV PURDUE UNIV INDIANAPO,114
MORGAN STANLEY & CO INC,114
NORTHWESTERN UNIV,111
JPMORGAN CHASE & CO,110
THE OHIO STATE UNIV,110
UNIV OF MINNESOTA,109
NIIT TECHNOLOGIES LIMITED,108
THE UNIV OF TEXAS AT AUSTIN,107
DUKE UNIV UNIV MED CTR & AFFIL INS,105
UNIV OF CA SAN FRANCISCO,104
UNIV OF CALIFORNIA LOS ANGELES,104
UNIVERSITY OF FLORIDA,104
CLEVELAND CLINIC FOUNDATION,102
VANDERBILT UNIVERSITY,99
UNIVERSITY OF WASHINGTON,96
MASSACHUSETTS GENERAL HOSPITAL,95
UNIVERSITY OF CALIFORNIA DAVIS,94
I-FLEX SOLUTIONS INC,93
MANAGEMENT HEALTH SYSTEMS INC D B,93
CAMBRIDGE GLOBAL SERVICES INC,91
MASSACHUSETTS INSTITUTE OF TECH,90
COSMOS FOUNDATION,89
UNIV OF CA SAN DIEGO,85
UT SOUTHWESTERN MED CTR AT DALLAS,85
DELOITTE TAX LLP,84
SCHLUMBERGER TECHNOLOGY CORP,84
UNIV OF COLORADO,83
PURDUE UNIV DEPT OF BIOLOGICAL SCI,82
THE PENNSYLVANIA STATE UNIVERSITY,82
BARCLAYS SERVICES CORP,81
THE UNIV OF ALABAMA AT BIRMINGHAM,81
EMC CORPORATION,79
GENERAL ELECTRIC COMPANY,79
HOWARD HUGHES MEDICAL INSTITUTE,79
THE UNIV OF TX M D ANDERSON CANCER,79
UT HEALTH SCIENCE CENTER,79
AEQUOR TECHNOLOGIES INC,78
DETROIT MEDICAL CENTER,78
MICHIGAN STATE UNIVERSITY,78
STATE UNIV OF NY AT STONY BROOK,78
THE UNIV OF IOWA,78
UNIV OF MIAMI MILLER SCH OF MEDICI,78
CHEVRON CORPORATION,76
ECLINICALWORKS LLC,76
UNIV OF MASSACHUSETTS AMHERST,76
THE UNIV OF CHICAGO,75
UNIV OF SOUTHERN CA,75
WASHINGTON UNIV IN ST LOUIS,75
MONSANTO COMPANY,74
SMARTSOFT INTERNATIONAL INC,73
BRIGHAM & WOMENS HOSPITAL,71
MOUNT SINAI MEDICAL CENTER,71
UNIVERSITY OF OKLAHOMA,71
CALIFORNIA INSTITUTE OF TECHNOLOGY,70
CASE WESTERN RESERVE UNIV,70
DEUTSCHE BANK AG,70
ENVIRONMENTAL SYSTEMS RESEARCH INS,70
BERTIE COUNTY SCHOOLS,69
LARSEN & TOUBRO LIMITED,69
CHILDREN S HOSPITAL CORP,68
CFA INSTITUTE,67
EMORY UNIVERSITY,67
UNIV OF MISSOURI COLUMBIA,67
IOWA STATE UNIVERSITY,66
ACCESS THERAPIES INC,65
DANA FARBER CANCER INSTITUTE,65
HALLMARK GLOBAL TECHNOLOGIES INC,65
NETAPP INC,65
RUTGERS THE STATE UNIV OF NJ,64
UNIV OF NC AT CHAPEL HILL,64
BATTELLE,63
MEMORIAL SLOAN KETTERING CANCER CE,63
UNIV OF KENTUCKY,63
VMWARE INC,63
YASH & LUJAN CONSULTING INC,63
NEW YORK CITY DEPT OF EDUCATION,62
TRUSTEES OF BOSTON UNIVERSITY,62
THE BOSTON CONSULTING GROUP INC,61
THE TRUSTEES OF PRINCETON UNIV,61
UNIVERSITY OF UTAH,61
ARIZONA STATE UNIV,60
SIEMENS ENERGY INC,60
UNIV OF VIRGINIA,60
AMGEN INC,59
BETH ISRAEL DEACONESS MED CTR INC,59
BROCADE COMMUNICATIONS SYSTEMS INC,59
DIGIBLITZ TECHNOLOGIES INC,59
MAJESCOMASTEK,59
OFFICE OF INTL EDUCATION UGA,59
EXXON MOBIL CORPORATION,57
GARMIN INTL INC,57
LOUISIANA STATE UNIVERSITY,57
SYMANTEC CORPORATION,57
TEXAS A&M UNIVERSITY,57
THE UNIVERSITY OF HOUSTON,57
BILINGUALS INC,56
UNIV OF CA BERKELEY,56
WAL-MART ASSOCIATES INC,56
ADVANCED MICRO DEVICES INC,55
GLOBAL TEACHERS RESEARCH &,55
LOS ANGELES UNIFIED SCHOOL DISTRIC,55
NATIONAL INSTRUMENTS CORPORATION,55
MARLABS INC,54
RESEARCH FDN OF SUNY AT BUFFALO,54
SABER SOFTWARE INC,53
VIRGINIA TECH,53
BROADCOM CORP,52
MAYO CLINIC ROCHESTER,52
KFORCE INC,51
SUREPREP LLC,51
TEMPLE UNIVERSITY,51
CONOCOPHILLIPS COMPANY,50
LAWRENCE BERKELEY NATIONAL LAB,50
NOKIA SIEMENS NETWORKS US LLC,50
PROLIENT GROUP INCORPORATION,50
UNIVERSITY OF ROCHESTER,50
ALBERT EINSTEIN COLLEGE OF MEDICIN,49
ALPHAVISTA SERVICES INC,49
DELL USA LP,49
HSBC BANK USA N A,49
UBS SECURITIES LLC,49
NYU SCHOOL OF MEDICINE,48
PROGRESSIVE CASUALTY INSURANCE CO,48
SAP AMERICA INC,48
ST JUDE CHILDREN S RESEARCH HOSP,48
TECH MAHINDRA AMERICAS INC,48
UNIV OF ARKANSAS FOR MED SCIENCES,48
CARNEGIE MELLON UNIV,47
FLORIDA HOSPITAL,47
GENENTECH INC,47
KRUSE STAFFING INC,47
MARVELL SEMICONDUCTOR INC,47
MEDITERRANEAN SHIPPING CO USA INC,47
MERRILL LYNCH & CO INC,47
NATIONAL OILWELL VARCO L P,47
UNIV OF TOLEDO,47
VIRGO INC,47
ACCENTURE LLP,46
ADOBE SYSTEMS INCORPORATED,46
APPLIED MATERIALS INC,46
CAPGEMINI US LLC,46
THE MATHWORKS INC,46
JCG TECHNOLOGIES INC,45
TOWERS PERRIN,45
ALCATEL LUCENT USA INC,44
FACEBOOK INC,44
GEORGIA INSTITUTE OF TECHNOLOGY,44
OAK RIDGE ASSOCIATED UNIVERSITIES,44
PHILIPS ELECTRONICS N AMERICA CORP,44
SALESFORCE COM,44
TEXAS TECH UNIVERSITY,44
UNIV OF CA SANTA BARBARA,44
BAIN & COMPANY INC,43
EXILANT CONSULTING PVT LTD,43
LOS ALAMOS NATIONAL SECURITY LLC,43
OCCIDENTAL OIL AND GAS CORPORATION,43
BAKER HUGHES INCORPORATED,42
CATERPILLAR INC,42
GEORGETOWN UNIVERSITY,42
HOUSTON INDEPENDENT SCH DISTRICT,42
INDUS GROUP INC,42
NOVARTIS PHARMACEUTICALS CORP,42
SIERRA ATLANTIC INC,42
VIRGINIA COMMONWEALTH UNIV,42
WEILL CORNELL MEDICAL COLLEGE,42
AR FORTUNEIT INC,41
BRONX LEBANON HOSPITAL CENTER,41
CYBERBEST TECHNOLOGY INC,41
DIASPARK INC,41
INFINITE COMPUTING SYSTEMS INC,41
SAN ANTONIO AEROSPACE LP,41
SUN MICROSYSTEMS INC,41
COMMUNITY REHABILITATION SVCS INC,40
FIDELITY INVESTMENTS,40
MEDTRONIC INC,40
MICRON TECHNOLOGY INC,40
NEW YORK UNIVERSITY,40
THE UNIVERSITY OF ARIZONA,40
UNIV OF CA IRVINE,40
